Model,Accuracy,Precision,Recall,Specificity,F1 score,ROC
Support Vector,0.6657777777777778,0.7293689320388349,0.531858407079646,0.8008928571428572,0.6151484135107472,0.6663756321112516
Ada,0.668,0.7420986093552465,0.5194690265486726,0.8178571428571428,0.6111400312337324,0.6686630847029077
GBoost,0.6822222222222222,0.8129713423831071,0.47699115044247786,0.8892857142857142,0.6012269938650306,0.6831384323640961
RF_ENT_500,0.7053333333333334,0.836940836940837,0.5132743362831859,0.8991071428571429,0.6363137685134393,0.7061907395701643
RF_Gini_500,0.7137777777777777,0.8511560693641619,0.5212389380530974,0.9080357142857143,0.6465422612513722,0.7146373261694058
Extra_Tree_500,0.6946666666666667,0.7548906789413119,0.5805309734513274,0.8098214285714286,0.656328164082041,0.6951762010113781
Extra_Tree_1000,0.696,0.7611241217798594,0.5752212389380531,0.8178571428571428,0.655241935483871,0.696539190897598
XGB_1000,0.6604444444444444,0.6894409937888198,0.5893805309734513,0.7321428571428571,0.6354961832061069,0.6607616940581542
Stacking,0.7026666666666667,0.7989623865110247,0.5451327433628319,0.8616071428571429,0.6480799579168859,0.7033699431099874
